"person_age","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length","log_income"
30,"RENT",9,"MEDICAL","C",1500,11.48,"0",0.05,"Y",8,10.2398169218094
29,"RENT",3,"MEDICAL","B",1700,11.12,"0",0.09,"N",10,9.7981270368783
28,"MORTGAGE",12,"VENTURE","E",8000,18.64,"0",0.07,"N",10,11.6439537273766
29,"RENT",2,"MEDICAL","B",12000,11.58,"1",0.34,"N",10,10.4630747686348
28,"MORTGAGE",13,"EDUCATION","B",21000,11.36,"0",0.26,"N",10,11.289781913656
24,"RENT",6,"DEBTCONSOLIDATION","C",3200,13.11,"1",0.13,"N",4,10.1266311038503
25,"RENT",9,"EDUCATION","A",15000,7.49,"0",0.15,"N",4,11.4869920829437
27,"RENT",2,"MEDICAL","B",12100,9.45,"0",0.22,"N",6,10.8967393255464
23,"OWN",2,"VENTURE","C",5000,12.87,"0",0.14,"Y",3,10.4912742174382
41,"RENT",1,"VENTURE","A",10000,6.03,"0",0.08,"N",13,11.7051973526174
39,"RENT",4,"EDUCATION","D",9800,16.29,"0",0.15,"Y",14,11.1124478983731
37,"MORTGAGE",7,"EDUCATION","A",9000,7.49,"0",0.25,"N",17,10.4912742174382
23,"RENT",7,"PERSONAL","B",10000,10.59,"0",0.14,"N",4,11.1844213979982
23,"MORTGAGE",2,"VENTURE","A",1500,6.17,"0",0.04,"N",3,10.6454248972655
22,"RENT",6,"DEBTCONSOLIDATION","B",7125,10.78,"0",0.25,"N",4,10.2399597891573
29,"MORTGAGE",13,"HOMEIMPROVEMENT","B",14000,10.25,"0",0.14,"N",5,11.4927227576527
26,"RENT",8,"DEBTCONSOLIDATION","C",11300,13.22,"0",0.27,"Y",4,10.642850156893
26,"RENT",2,"PERSONAL","A",12000,7.88,"0",0.22,"N",4,10.9150157342971
31,"MORTGAGE",14,"MEDICAL","A",6600,7.14,"0",0.14,"N",5,10.77895628989
38,"RENT",2,"VENTURE","C",4000,12.68,"0",0.18,"Y",12,9.99879773234045
32,"MORTGAGE",1,"HOMEIMPROVEMENT","C",7500,10.78,"0",0.09,"N",10,11.3504065354725
23,"MORTGAGE",7,"EDUCATION","B",23000,11.99,"0",0.27,"N",2,11.3385720778255
22,"RENT",6,"PERSONAL","B",5000,12.42,"0",0.25,"N",2,9.92329017983231
58,"MORTGAGE",20,"PERSONAL","C",6000,12.99,"0",0.13,"N",25,10.7276629955025
23,"RENT",2,"EDUCATION","C",9600,14.26,"0",0.19,"N",3,10.8197782844103
22,"RENT",6,"VENTURE","B",13000,9.99,"0",0.22,"N",4,11.0020998412042
24,"MORTGAGE",7,"EDUCATION","A",15000,7.49,"0",0.43,"N",4,10.4631033404715
21,"RENT",6,"DEBTCONSOLIDATION","C",6000,13.61,"0",0.24,"N",2,10.126471091049
27,"RENT",1,"MEDICAL","C",2000,13.61,"0",0.08,"N",10,10.1811192891344
22,"MORTGAGE",2,"MEDICAL","C",8400,12.73,"0",0.13,"Y",4,11.0508900053737
47,"MORTGAGE",4,"MEDICAL","A",12000,7.29,"0",0.23,"N",16,10.8589989975636
31,"MORTGAGE",0,"VENTURE","C",20000,13.48,"0",0.2,"Y",6,11.5129254649702
23,"MORTGAGE",5,"PERSONAL","B",9600,10,"0",0.12,"N",2,11.3144745262464
29,"RENT",2,"HOMEIMPROVEMENT","B",3000,12.69,"1",0.17,"N",8,9.7981270368783
